entity_name,technique_id_seq,num_techniques,motive,source,source_type
Leviathan,T1589.001 -> T1585.002 -> T1586.002 -> T1583.001 -> T1585.001 -> T1586.001 -> T1078 -> T1566.001 -> T1133 -> T1189 -> T1566.002 -> T1204.002 -> T1047 -> T1059.005 -> T1059.001 -> T1204.001 -> T1203 -> T1559.002 -> T1197 -> T1547.001 -> T1505.003 -> T1547.009 -> T1546.003 -> T1055.001 -> T1003.001 -> T1003 -> T1534 -> T1021.001 -> T1021.004 -> T1074.001 -> T1074.002 -> T1560 -> T1102.003 -> T1572 -> T1105 -> T1090.003 -> T1567.002 -> T1041 -> T1140 -> T1027 -> T1218.010 -> T1553.002 -> T1027.003 -> T1027.001,44,Espionage,Tropchaud,aggregate
TA505,T1566.002 -> T1566.001 -> T1078.002 -> T1559.002 -> T1059.007 -> T1204.001 -> T1059.005 -> T1204.002 -> T1059.003 -> T1059.001 -> T1055.001 -> T1555.003 -> T1552.001 -> T1087.003 -> T1069 -> T1071.001 -> T1105 -> T1568.001 -> T1486 -> T1553.002 -> T1027.002 -> T1218.011 -> T1218.007 -> T1027 -> T1553.005,25,Financial,Tropchaud,aggregate
APT3,T1078.002 -> T1566.002 -> T1053.005 -> T1574.002 -> T1059.003 -> T1204.001 -> T1059.001 -> T1203 -> T1543.003 -> T1098 -> T1547.001 -> T1136.001 -> T1546.008 -> T1056.001 -> T1552.001 -> T1003.001 -> T1555.003 -> T1110.002 -> T1082 -> T1049 -> T1069 -> T1018 -> T1016 -> T1083 -> T1087.001 -> T1057 -> T1033 -> T1021.002 -> T1021.001 -> T1560.001 -> T1074.001 -> T1005 -> T1090.002 -> T1104 -> T1065 -> T1043 -> T1105 -> T1095 -> T1041 -> T1070.004 -> T1027.002 -> T1027.005 -> T1027 -> T1218.011 -> T1564.003,45,Espionage,Tropchaud,aggregate
TEMP.Veles,T1583.003 -> T1588.002 -> T1078 -> T1133 -> T1053.005 -> T1059.001 -> T1505.003 -> T1546.012 -> T1003.001 -> T1021.001 -> T1021.004 -> T1074.001 -> T1065 -> T1043 -> T1571 -> T1070.004 -> T1070.006 -> T1027.005 -> T1036.005,19,Sabotage,Tropchaud,aggregate
OilRig,T1078 -> T1133 -> T1566.001 -> T1566.002 -> T1566.003 -> T1059.005 -> T1204.001 -> T1059.001 -> T1204.002 -> T1047 -> T1053.005 -> T1059 -> T1059.003 -> T1137.004 -> T1505.003 -> T1003.005 -> T1555 -> T1552.001 -> T1555.004 -> T1555.003 -> T1003.001 -> T1056.001 -> T1003.004 -> T1110 -> T1069.001 -> T1033 -> T1201 -> T1016 -> T1120 -> T1082 -> T1049 -> T1087.001 -> T1087.002 -> T1012 -> T1007 -> T1057 -> T1069.002 -> T1497.001 -> T1046 -> T1021.004 -> T1021.001 -> T1119 -> T1113 -> T1094 -> T1105 -> T1573.002 -> T1572 -> T1043 -> T1008 -> T1071.001 -> T1071.004 -> T1048.003 -> T1027.005 -> T1027 -> T1070.004 -> T1140 -> T1218.001 -> T1036,58,Espionage,Tropchaud,aggregate
Inception,T1588.002 -> T1566.001 -> T1204.002 -> T1059.005 -> T1203 -> T1059.001 -> T1547.001 -> T1555.003 -> T1083 -> T1518 -> T1082 -> T1057 -> T1069.002 -> T1005 -> T1573.001 -> T1102 -> T1071.001 -> T1090.003 -> T1027 -> T1218.010 -> T1218.005 -> T1221,22,Espionage,Tropchaud,aggregate
Cobalt Group,T1588.002 -> T1566.002 -> T1566.001 -> T1195.002 -> T1059.007 -> T1059.005 -> T1203 -> T1559.002 -> T1059.001 -> T1059.003 -> T1204.001 -> T1053.005 -> T1204.002 -> T1547.001 -> T1543.003 -> T1037.001 -> T1548.002 -> T1068 -> T1055 -> T1518.001 -> T1046 -> T1021.001 -> T1071.004 -> T1573.002 -> T1219 -> T1071.001 -> T1572 -> T1105 -> T1027 -> T1218.008 -> T1220 -> T1070.004 -> T1218.010 -> T1218.003,34,Financial,Tropchaud,aggregate
APT18,T1133 -> T1078 -> T1059.003 -> T1053.002 -> T1547.001 -> T1082 -> T1083 -> T1071.004 -> T1043 -> T1105 -> T1071.001 -> T1027 -> T1070.004,13,Espionage,Tropchaud,aggregate
APT12,T1566.001 -> T1203 -> T1204.002 -> T1102.002 -> T1568.003,5,Espionage,Tropchaud,aggregate
MuddyWater,T1589.002 -> T1583.006 -> T1588.002 -> T1566.002 -> T1566.001 -> T1204.002 -> T1559.001 -> T1053.005 -> T1559.002 -> T1059.001 -> T1059.006 -> T1204.001 -> T1059.003 -> T1203 -> T1059.005 -> T1059.007 -> T1047 -> T1547.001 -> T1137.001 -> T1548.002 -> T1555 -> T1003.005 -> T1555.003 -> T1552.001 -> T1003.004 -> T1003.001 -> T1049 -> T1083 -> T1057 -> T1082 -> T1033 -> T1016 -> T1518 -> T1087.002 -> T1518.001 -> T1113 -> T1560.001 -> T1071.001 -> T1219 -> T1090.002 -> T1102.002 -> T1104 -> T1132.001 -> T1105 -> T1041 -> T1562.001 -> T1027.004 -> T1036.005 -> T1218.003 -> T1140 -> T1218.011 -> T1027 -> T1027.003 -> T1218.005,54,Espionage,Tropchaud,aggregate
