entity_name,technique_id_seq,num_techniques,motive,source
ScatteredSpider1,T1589 -> T1598 -> T1597.002 -> T1594 -> T1598.004 -> T1593.001 -> T1583.001 -> T1585.001 -> T1566 -> T1660 -> T1566.004 -> T1199 -> T1078.002 -> T1648 -> T1204 -> T1136 -> T1556.006 -> T1078 -> T1484.002 -> T1578.002 -> T1656 -> T1606 -> T1621 -> T1552.001 -> T1552.004 -> T1451 -> T1217 -> T1538 -> T1083 -> T1018 -> T1539 -> T1021.007 -> T1213.003 -> T1213.002 -> T1074 -> T1114 -> T1530 -> T1219 -> T1090 -> T1567 -> T1486 -> T1567.002 -> T1657,43,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-320a
Rhysida,T1587 -> T1078 -> T1059.009 -> T1059.001 -> T1059.003 -> T1055.002 -> T1070.001 -> T1070.004 -> T1564.003 -> T1003.003 -> T1112 -> T1016 -> T1018 -> T1033 -> T1069.001 -> T1069.002 -> T1087.002 -> T1482 -> T1021.001 -> T1021.004 -> T1219 -> T1219 -> T1486 -> T1657,24,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-319a
Snatch,T1590 -> T1583.003 -> T1078 -> T1133 -> T1059.003 -> T1569.002 -> T1078.002 -> T1036 -> T1070.004 -> T1112 -> T1562.001 -> T1562.009 -> T1110.001 -> T1012 -> T1057 -> T1021.001 -> T1005 -> T1071.001 -> T1486 -> T1490,20,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-263a
BlackTech,T1588.003 -> T1199 -> T1205 -> T1542.004 -> T1112 -> T1562 -> T1562.003 -> T1601.001 -> T1021.001 -> T1021.004 -> T1071.002 -> T1090,12,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-270a
Lockbit,T1189 -> T1190 -> T1133 -> T1566 -> T1078 -> T1059.003 -> T1072 -> T1569.002 -> T1547 -> T1078 -> T1548 -> T1547 -> T1484.001 -> T1078 -> T1480.001 -> T1562.001 -> T1070.001 -> T1070.004 -> T1027 -> T1027.002 -> T1110 -> T1555.003 -> T1003 -> T1003.001 -> T1046 -> T1082 -> T1614.001 -> T1021.001 -> T1021.002 -> T1560.001 -> T1071.002 -> T1071.001 -> T1095 -> T1572 -> T1219 -> T1567 -> T1567.002 -> T1485 -> T1486 -> T1491.001 -> T1490 -> T1489,42,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a
CL0P,T1190 -> T1566 -> T1059.001 -> T1059.003 -> T1129 -> T1505.003 -> T1546.011 -> T1068 -> T1055 -> T1070 -> T1574.002 -> T1018 -> T1021.002 -> T1563.002 -> T1113 -> T1071 -> T1105 -> T1041,18,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-158a
BianLian,T1587.001 -> T1133 -> T1566 -> T1078 -> T1190 -> T1059.001 -> T1059.003 -> T1053.005 -> T1098 -> T1136.001 -> T1136.002 -> T1136.003 -> T1505.003 -> T1068 -> T1112 -> T1562.001 -> T1562.004 -> T1027.002 -> T1036.004 -> T1003.001 -> T1003.003 -> T1552.001 -> T1552.004 -> T1087.002 -> T1482 -> T1083 -> T1046 -> T1135 -> T1069.002 -> T1012 -> T1018 -> T1033 -> T1057 -> T1518 -> T1082 -> T1021.001 -> T1021.002 -> T1115 -> T1560 -> T1105 -> T1219 -> T1090 -> T1090.002 -> T1537 -> T1048 -> T1567.002 -> T1486,47,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a
Lockbit3.0,T1078 -> T1133 -> T1189 -> T1190 -> T1566 -> T1072 -> T1078 -> T1547 -> T1547 -> T1027 -> T1070.004 -> T1480.001 -> T1003.001 -> T1046 -> T1082 -> T1614.001 -> T1021.001 -> T1071.002 -> T1572 -> T1567 -> T1567.002 -> T1485 -> T1486 -> T1489 -> T1490 -> T1491.001,26,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a
BlackSuit1,T1650 -> T1021.001 -> T1133 -> T1190 -> T1566 -> T1566.001 -> T1566.002 -> T1078 -> T1078.002 -> T1021.001 -> T1070.001 -> T1119 -> T1484.001 -> T1562.001 -> T1105 -> T1572 -> T1486,17,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a
Hive,T1133 -> T1190 -> T1566.001 -> T1059 -> T1070 -> T1112 -> T1562 -> T1537 -> T1486 -> T1490,10,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-321a
