entity_name,technique_id_seq,num_techniques,motive,source,source_type
BianLian,T1587 -> T1133 -> T1566 -> T1078 -> T1190 -> T1059 -> T1053 -> T1098 -> T1136 -> T1505 -> T1112 -> T1068 -> T1003 -> T1552 -> T1087 -> T1482 -> T1083 -> T1046 -> T1135 -> T1069 -> T1012 -> T1018 -> T1033 -> T1057 -> T1518 -> T1082 -> T1021 -> T1115 -> T1560 -> T1105 -> T1219 -> T1090 -> T1537 -> T1048 -> T1567 -> T1486 -> T1562 -> T1027 -> T1036,39,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-136a,bounded_incident
Lockbit3.0,T1078 -> T1133 -> T1189 -> T1190 -> T1566 -> T1078 -> T1072 -> T1547 -> T1003 -> T1046 -> T1082 -> T1614 -> T1021 -> T1071 -> T1572 -> T1567 -> T1485 -> T1486 -> T1489 -> T1490 -> T1491 -> T1027 -> T1070 -> T1480,24,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-075a,bounded_incident
BlackSuit1,T1650 -> T1133 -> T1190 -> T1566 -> T1078 -> T1484 -> T1021 -> T1119 -> T1105 -> T1572 -> T1486 -> T1070 -> T1562,13,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-061a,bounded_incident
Hive,T1133 -> T1190 -> T1566 -> T1059 -> T1112 -> T1537 -> T1486 -> T1490 -> T1070 -> T1562,10,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-321a,bounded_incident
Daixin,T1598 -> T1190 -> T1078 -> T1098 -> T1003 -> T1563 -> T1550 -> T1567 -> T1486,9,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-294a,bounded_incident
Unknown2,T1078 -> T1047 -> T1059 -> T1129 -> T1569 -> T1574 -> T1543 -> T1497 -> T1016 -> T1033 -> T1049 -> T1057 -> T1082 -> T1083 -> T1497 -> T1021 -> T1560 -> T1039 -> T1074 -> T1095 -> T1105 -> T1090 -> T1029 -> T1567 -> T1036 -> T1070 -> T1562,27,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-277a,bounded_incident
ViceSociety,T1190 -> T1078 -> T1047 -> T1053 -> T1574 -> T1543 -> T1547 -> T1068 -> T1055 -> T1497 -> T1080 -> T1486 -> T1531 -> T1036,14,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-249a-0,bounded_incident
Zeppelin,T1133 -> T1190 -> T1566 -> T1204 -> T1543 -> T1486,6,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-223a,bounded_incident
Karakurt,T1589 -> T1591 -> T1190 -> T1133 -> T1566 -> T1078 -> T1083 -> T1219 -> T1048 -> T1567,10,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-152a,bounded_incident
VoltTyphoon2,T1583 -> T1584 -> T1059 -> T1546 -> T1055 -> T1083 -> T1057 -> T1518 -> T1082 -> T1016 -> T1573 -> T1105 -> T1095 -> T1571 -> T1685 -> T1222 -> T1564 -> T1070 -> T1036,19,Espionage,https://attack.mitre.org/campaigns/C0035/,bounded_incident
UNC3890,T1583 -> T1584 -> T1587 -> T1588 -> T1608 -> T1189 -> T1105,7,Espionage,https://attack.mitre.org/campaigns/C0010/,bounded_incident
TransparetTribe,T1583 -> T1587 -> T1608 -> T1566 -> T1059 -> T1204,6,Espionage,https://attack.mitre.org/campaigns/C0011/,bounded_incident
Unknown3,T1588 -> T1190 -> T1059 -> T1072 -> T1047 -> T1046 -> T1016 -> T1033 -> T1570 -> T1021 -> T1071 -> T1105 -> T1571 -> T1219 -> T1486 -> T1036 -> T1027 -> T1218,18,Financial,https://attack.mitre.org/campaigns/C0018/,bounded_incident
Unknown4,T1583 -> T1584 -> T1588 -> T1608 -> T1566 -> T1059 -> T1204 -> T1071 -> T1573 -> T1105 -> T1095 -> T1140 -> T1027 -> T1218,14,Espionage,https://attack.mitre.org/campaigns/C0021/,bounded_incident
UNC5221,T1595 -> T1594 -> T1584 -> T1588 -> T1190 -> T1078 -> T1059 -> T1554 -> T1505 -> T1205 -> T1055 -> T1056 -> T1003 -> T1082 -> T1021 -> T1560 -> T1005 -> T1071 -> T1105 -> T1095 -> T1572 -> T1685 -> T1070 -> T1027,24,Espionage,https://attack.mitre.org/campaigns/C0029/,bounded_incident
